cell_id,Month,actual
332227,2025-02-01,1
344793,2025-02-01,5
344794,2025-02-01,1
344795,2025-02-01,2
344796,2025-02-01,2
344809,2025-02-01,1
345754,2025-02-01,1
345756,2025-02-01,1
345758,2025-02-01,2
345762,2025-02-01,1
345763,2025-02-01,2
345765,2025-02-01,1
346722,2025-02-01,1
346723,2025-02-01,2
346724,2025-02-01,1
346725,2025-02-01,1
346734,2025-02-01,1
347690,2025-02-01,1
347692,2025-02-01,1
347697,2025-02-01,1
347700,2025-02-01,1
348661,2025-02-01,1
348663,2025-02-01,1
348664,2025-02-01,3
348666,2025-02-01,1
349630,2025-02-01,2
349631,2025-02-01,1
349632,2025-02-01,1
349635,2025-02-01,1
349636,2025-02-01,1
350589,2025-02-01,3
350590,2025-02-01,2
350594,2025-02-01,1
350598,2025-02-01,2
350609,2025-02-01,1
350619,2025-02-01,2
351550,2025-02-01,2
351558,2025-02-01,1
351560,2025-02-01,2
351563,2025-02-01,2
351567,2025-02-01,1
351570,2025-02-01,1
351577,2025-02-01,1
351579,2025-02-01,1
351587,2025-02-01,1
352518,2025-02-01,1
352519,2025-02-01,2
352525,2025-02-01,1
352529,2025-02-01,4
352530,2025-02-01,4
352534,2025-02-01,2
352535,2025-02-01,3
352553,2025-02-01,3
352554,2025-02-01,1
352555,2025-02-01,1
353485,2025-02-01,2
353486,2025-02-01,1
353496,2025-02-01,2
353497,2025-02-01,1
353498,2025-02-01,4
353499,2025-02-01,3
353500,2025-02-01,1
353501,2025-02-01,1
353502,2025-02-01,2
353503,2025-02-01,1
353512,2025-02-01,1
353513,2025-02-01,1
353514,2025-02-01,1
353519,2025-02-01,1
353521,2025-02-01,2
354451,2025-02-01,1
354452,2025-02-01,1
354455,2025-02-01,1
354465,2025-02-01,2
354467,2025-02-01,3
354468,2025-02-01,1
354469,2025-02-01,1
354470,2025-02-01,4
354471,2025-02-01,1
354473,2025-02-01,3
354481,2025-02-01,1
354482,2025-02-01,1
354484,2025-02-01,1
354486,2025-02-01,2
354487,2025-02-01,2
354488,2025-02-01,1
355421,2025-02-01,2
355422,2025-02-01,1
355425,2025-02-01,1
355428,2025-02-01,1
355429,2025-02-01,1
355433,2025-02-01,2
355435,2025-02-01,4
355437,2025-02-01,1
355438,2025-02-01,1
355439,2025-02-01,1
355441,2025-02-01,1
355442,2025-02-01,1
355450,2025-02-01,1
355454,2025-02-01,2
355456,2025-02-01,1
355458,2025-02-01,1
356387,2025-02-01,1
356389,2025-02-01,1
356391,2025-02-01,1
356395,2025-02-01,2
356402,2025-02-01,1
356406,2025-02-01,1
356407,2025-02-01,1
356408,2025-02-01,1
356409,2025-02-01,2
356413,2025-02-01,2
356417,2025-02-01,1
356423,2025-02-01,2
356424,2025-02-01,1
356425,2025-02-01,3
357355,2025-02-01,1
357357,2025-02-01,1
357366,2025-02-01,1
357369,2025-02-01,2
357373,2025-02-01,1
357376,2025-02-01,1
357378,2025-02-01,1
357382,2025-02-01,1
357383,2025-02-01,1
357385,2025-02-01,1
357389,2025-02-01,1
357390,2025-02-01,1
358322,2025-02-01,2
