cell_id,actual_past_year,year_end
85822,1,2025-02-01
141742,1,2025-02-01
185838,1,2025-02-01
332227,1,2025-02-01
342873,1,2025-02-01
342875,2,2025-02-01
342877,4,2025-02-01
343810,1,2025-02-01
343825,2,2025-02-01
343826,3,2025-02-01
343835,1,2025-02-01
343841,1,2025-02-01
344768,1,2025-02-01
344782,1,2025-02-01
344785,2,2025-02-01
344790,1,2025-02-01
344791,2,2025-02-01
344792,2,2025-02-01
344793,10,2025-02-01
344794,7,2025-02-01
344795,19,2025-02-01
344796,10,2025-02-01
344805,2,2025-02-01
344806,1,2025-02-01
344807,3,2025-02-01
344808,4,2025-02-01
344809,4,2025-02-01
344811,2,2025-02-01
345749,5,2025-02-01
345750,4,2025-02-01
345751,2,2025-02-01
345753,1,2025-02-01
345754,8,2025-02-01
345755,7,2025-02-01
345756,4,2025-02-01
345757,8,2025-02-01
345758,13,2025-02-01
345759,2,2025-02-01
345760,7,2025-02-01
345761,7,2025-02-01
345762,9,2025-02-01
345763,18,2025-02-01
345764,25,2025-02-01
345765,7,2025-02-01
345776,5,2025-02-01
345777,4,2025-02-01
346717,2,2025-02-01
346718,1,2025-02-01
346719,1,2025-02-01
346720,4,2025-02-01
346722,5,2025-02-01
346723,19,2025-02-01
346724,23,2025-02-01
346725,6,2025-02-01
346726,3,2025-02-01
346727,1,2025-02-01
346729,4,2025-02-01
346731,4,2025-02-01
346732,2,2025-02-01
346734,1,2025-02-01
346735,3,2025-02-01
346743,1,2025-02-01
347688,2,2025-02-01
347689,15,2025-02-01
347690,20,2025-02-01
347691,12,2025-02-01
347692,4,2025-02-01
347693,22,2025-02-01
347694,4,2025-02-01
347695,3,2025-02-01
347696,3,2025-02-01
347697,3,2025-02-01
347698,3,2025-02-01
347699,2,2025-02-01
347700,2,2025-02-01
347703,3,2025-02-01
347704,2,2025-02-01
347715,1,2025-02-01
348645,1,2025-02-01
348653,3,2025-02-01
348654,2,2025-02-01
348655,7,2025-02-01
348656,4,2025-02-01
348657,4,2025-02-01
348658,7,2025-02-01
348659,4,2025-02-01
348661,1,2025-02-01
348662,4,2025-02-01
348663,12,2025-02-01
348664,5,2025-02-01
348665,6,2025-02-01
348666,3,2025-02-01
348669,1,2025-02-01
348671,1,2025-02-01
348672,2,2025-02-01
348673,1,2025-02-01
349619,2,2025-02-01
349621,1,2025-02-01
349627,1,2025-02-01
349629,1,2025-02-01
349630,5,2025-02-01
349631,4,2025-02-01
349632,5,2025-02-01
349633,3,2025-02-01
349634,1,2025-02-01
349635,2,2025-02-01
349636,3,2025-02-01
349637,2,2025-02-01
349638,3,2025-02-01
349639,2,2025-02-01
349640,6,2025-02-01
349643,2,2025-02-01
349648,1,2025-02-01
349649,2,2025-02-01
349651,3,2025-02-01
350582,4,2025-02-01
350583,1,2025-02-01
350584,1,2025-02-01
350589,9,2025-02-01
350590,7,2025-02-01
350594,5,2025-02-01
350595,2,2025-02-01
350596,1,2025-02-01
350597,2,2025-02-01
350598,9,2025-02-01
350599,4,2025-02-01
350600,3,2025-02-01
350601,1,2025-02-01
350603,5,2025-02-01
350604,1,2025-02-01
350607,1,2025-02-01
350608,2,2025-02-01
350609,7,2025-02-01
350611,3,2025-02-01
350612,5,2025-02-01
350616,1,2025-02-01
350618,5,2025-02-01
350619,2,2025-02-01
351547,2,2025-02-01
351550,3,2025-02-01
351551,8,2025-02-01
351557,8,2025-02-01
351558,9,2025-02-01
351559,10,2025-02-01
351560,8,2025-02-01
351561,11,2025-02-01
351562,5,2025-02-01
351563,5,2025-02-01
351564,1,2025-02-01
351565,9,2025-02-01
351566,6,2025-02-01
351567,14,2025-02-01
351568,1,2025-02-01
351570,3,2025-02-01
351571,2,2025-02-01
351575,2,2025-02-01
351577,3,2025-02-01
351578,3,2025-02-01
351579,3,2025-02-01
351580,3,2025-02-01
351581,3,2025-02-01
351585,1,2025-02-01
351586,2,2025-02-01
351587,1,2025-02-01
351588,3,2025-02-01
352518,7,2025-02-01
352519,14,2025-02-01
352520,3,2025-02-01
352521,3,2025-02-01
352525,5,2025-02-01
352528,8,2025-02-01
352529,21,2025-02-01
352530,20,2025-02-01
352531,2,2025-02-01
352533,6,2025-02-01
352534,12,2025-02-01
352535,10,2025-02-01
352536,1,2025-02-01
352537,5,2025-02-01
352538,2,2025-02-01
352545,4,2025-02-01
352546,10,2025-02-01
352547,3,2025-02-01
352548,2,2025-02-01
352553,6,2025-02-01
352554,9,2025-02-01
352555,3,2025-02-01
352613,1,2025-02-01
353482,3,2025-02-01
353483,8,2025-02-01
353484,7,2025-02-01
353485,9,2025-02-01
353486,2,2025-02-01
353487,11,2025-02-01
353490,1,2025-02-01
353492,1,2025-02-01
353493,5,2025-02-01
353494,2,2025-02-01
353496,4,2025-02-01
353497,16,2025-02-01
353498,47,2025-02-01
353499,28,2025-02-01
353500,15,2025-02-01
353501,6,2025-02-01
353502,8,2025-02-01
353503,17,2025-02-01
353504,8,2025-02-01
353505,9,2025-02-01
353510,1,2025-02-01
353511,3,2025-02-01
353512,4,2025-02-01
353513,4,2025-02-01
353514,6,2025-02-01
353515,4,2025-02-01
353516,1,2025-02-01
353518,1,2025-02-01
353519,2,2025-02-01
353520,3,2025-02-01
353521,4,2025-02-01
353522,3,2025-02-01
353523,4,2025-02-01
354450,4,2025-02-01
354451,4,2025-02-01
354452,14,2025-02-01
354453,9,2025-02-01
354454,11,2025-02-01
354455,6,2025-02-01
354456,5,2025-02-01
354457,3,2025-02-01
354458,4,2025-02-01
354461,11,2025-02-01
354463,1,2025-02-01
354464,3,2025-02-01
354465,18,2025-02-01
354466,17,2025-02-01
354467,16,2025-02-01
354468,16,2025-02-01
354469,11,2025-02-01
354470,32,2025-02-01
354471,7,2025-02-01
354472,1,2025-02-01
354473,5,2025-02-01
354479,3,2025-02-01
354480,3,2025-02-01
354481,3,2025-02-01
354482,11,2025-02-01
354483,8,2025-02-01
354484,5,2025-02-01
354485,2,2025-02-01
354486,11,2025-02-01
354487,9,2025-02-01
354488,13,2025-02-01
354489,4,2025-02-01
354490,2,2025-02-01
354491,3,2025-02-01
355419,5,2025-02-01
355420,4,2025-02-01
355421,13,2025-02-01
355422,22,2025-02-01
355423,5,2025-02-01
355424,2,2025-02-01
355425,2,2025-02-01
355426,1,2025-02-01
355427,5,2025-02-01
355428,8,2025-02-01
355429,10,2025-02-01
355430,2,2025-02-01
355433,10,2025-02-01
355434,1,2025-02-01
355435,9,2025-02-01
355436,4,2025-02-01
355437,14,2025-02-01
355438,9,2025-02-01
355439,2,2025-02-01
355440,6,2025-02-01
355441,9,2025-02-01
355442,2,2025-02-01
355447,7,2025-02-01
355448,1,2025-02-01
355449,3,2025-02-01
355450,3,2025-02-01
355451,2,2025-02-01
355452,3,2025-02-01
355454,3,2025-02-01
355455,6,2025-02-01
355456,8,2025-02-01
355457,2,2025-02-01
355458,5,2025-02-01
356386,4,2025-02-01
356387,6,2025-02-01
356388,2,2025-02-01
356389,6,2025-02-01
356390,3,2025-02-01
356391,14,2025-02-01
356392,9,2025-02-01
356393,1,2025-02-01
356394,2,2025-02-01
356395,7,2025-02-01
356396,2,2025-02-01
356397,1,2025-02-01
356398,3,2025-02-01
356401,11,2025-02-01
356402,2,2025-02-01
356405,8,2025-02-01
356406,4,2025-02-01
356407,6,2025-02-01
356408,14,2025-02-01
356409,4,2025-02-01
356410,4,2025-02-01
356413,9,2025-02-01
356414,8,2025-02-01
356415,5,2025-02-01
356416,7,2025-02-01
356417,1,2025-02-01
356418,4,2025-02-01
356419,10,2025-02-01
356420,5,2025-02-01
356421,2,2025-02-01
356422,3,2025-02-01
356423,15,2025-02-01
356424,7,2025-02-01
356425,7,2025-02-01
357354,2,2025-02-01
357355,5,2025-02-01
357357,7,2025-02-01
357359,3,2025-02-01
357361,2,2025-02-01
357362,2,2025-02-01
357363,8,2025-02-01
357364,7,2025-02-01
357365,5,2025-02-01
357366,8,2025-02-01
357368,1,2025-02-01
357369,14,2025-02-01
357370,6,2025-02-01
357372,4,2025-02-01
357373,11,2025-02-01
357374,8,2025-02-01
357375,4,2025-02-01
357376,4,2025-02-01
357377,2,2025-02-01
357378,6,2025-02-01
357381,1,2025-02-01
357382,6,2025-02-01
357383,2,2025-02-01
357384,2,2025-02-01
357385,4,2025-02-01
357386,1,2025-02-01
357387,2,2025-02-01
357388,1,2025-02-01
357389,7,2025-02-01
357390,7,2025-02-01
357391,6,2025-02-01
357392,3,2025-02-01
357393,1,2025-02-01
357394,1,2025-02-01
358321,3,2025-02-01
358322,16,2025-02-01
358323,11,2025-02-01
358324,2,2025-02-01
358325,11,2025-02-01
358326,3,2025-02-01
358329,8,2025-02-01
358330,6,2025-02-01
358331,9,2025-02-01
358332,10,2025-02-01
358333,4,2025-02-01
358334,6,2025-02-01
358336,4,2025-02-01
358337,7,2025-02-01
358338,25,2025-02-01
358339,11,2025-02-01
358340,16,2025-02-01
358341,5,2025-02-01
358342,2,2025-02-01
358343,2,2025-02-01
358344,6,2025-02-01
358345,5,2025-02-01
358346,2,2025-02-01
358347,6,2025-02-01
358348,2,2025-02-01
358349,5,2025-02-01
358350,4,2025-02-01
358351,9,2025-02-01
358352,15,2025-02-01
358353,4,2025-02-01
358354,3,2025-02-01
358355,2,2025-02-01
358356,3,2025-02-01
358357,6,2025-02-01
358358,9,2025-02-01
358359,6,2025-02-01
358360,7,2025-02-01
358361,4,2025-02-01
358362,1,2025-02-01
359285,1,2025-02-01
359287,2,2025-02-01
359288,5,2025-02-01
359289,8,2025-02-01
359290,8,2025-02-01
359291,4,2025-02-01
359292,6,2025-02-01
359293,4,2025-02-01
359294,10,2025-02-01
359295,4,2025-02-01
359297,14,2025-02-01
359298,5,2025-02-01
359299,9,2025-02-01
359300,5,2025-02-01
359301,4,2025-02-01
359302,9,2025-02-01
359303,10,2025-02-01
359304,10,2025-02-01
359305,13,2025-02-01
359306,44,2025-02-01
359307,8,2025-02-01
